# U0 [m]	V0 [m]	Ecart [m]	Altitude [m]
-295.8018125	151.6764585	0.988900634	97.8
-296.7653512	151.3429166	1.01963572	97.8
-297.6485963	151.0093713	0.94412629	97.8
-298.6121402	150.5646348	1.061229186	97.9
-299.4953855	150.2310898	0.944126386	97.9
-300.4589297	149.7863535	1.061229289	97.9
-301.4224689	149.4528123	1.019635979	97.9
-302.3859981	149.3416612	0.969919119	97.9
-303.3495273	149.2305101	0.969919135	97.9
-304.3933452	149.2305578	1.043817854	97.9
-305.3568744	149.1194071	0.969919151	97.9
-306.4006974	149.0082601	1.049723811	98
-307.3642268	148.8971097	0.969919183	98
-308.4080498	148.7859631	1.049723846	98
-309.3715741	148.7860078	0.963524238	98
-310.3351035	148.6748578	0.969919215	98
-311.3789266	148.5637117	1.04972388	98
-312.3424457	148.6749518	0.969919231	98
-313.3862584	148.7861958	1.049723863	98
-314.3497774	148.8974362	0.969919199	98
-315.3132963	149.0086767	0.969919183	98
-316.2768099	149.2311124	0.98885596	98
-317.3206225	149.342357	1.049723776	98
-318.2841413	149.453598	0.969919119	98
-319.2476601	149.5648391	0.969919103	98
-320.2914726	149.6760842	1.049723724	98
-321.2549913	149.7873256	0.969919071	98
-322.2185046	150.0097621	0.98885585	98
-323.2623169	150.1210077	1.049723654	98
-324.2258356	150.2322495	0.969919007	98
-325.1893542	150.3434915	0.969918991	98
-326.2331664	150.4547375	1.049723602	98
-327.1966849	150.5659798	0.969918958	98
-328.1601979	150.7884171	0.98885574	98
-329.1237053	151.1220495	1.019635795	98
-330.0872127	151.455682	1.01963575	98
-330.9704263	151.7893107	0.944126234	98
-331.9339334	152.1229435	1.019635659	98
-332.8171413	152.5677674	0.98890058	98
-333.700349	153.0125913	0.988900528	98
-334.583551	153.5686103	1.043648859	98
-335.4667585	154.0134345	0.988900408	98
-336.2696722	154.4582548	0.917897346	98.1
-337.1528738	155.0142741	1.043648697	98.1
-338.036081	155.4590987	0.988900237	98.1
-338.919288	155.9039233	0.988900184	98.2
-339.8024892	156.459943	1.043648534	98.2
-340.6856959	156.9047679	0.988900066	98.3
-341.4885975	157.5719787	1.043945012	98.3
-342.0506125	158.3503721	0.960081835	98.3
-342.692921	159.1287696	1.009189232	98.4
-343.3352293	159.9071672	1.009189184	98.4
-343.9775375	160.6855649	1.009189136	98.4
-344.6198455	161.4639626	1.009189089	98.4
-345.2621533	162.2423604	1.009189041	98.5
-345.8241675	163.0207541	0.960081603	98.5
-346.4664751	163.7991521	1.009188946	98.5
-347.1087825	164.57755	1.009188896	98.6
-347.7510898	165.3559481	1.00918885	98.6
